idx,unique_id,subject,correct_1p5b_k1,correct_1p5b_k8maj,correct_7b
0,test/precalculus/807.json,precalculus,0,1,1
1,test/intermediate_algebra/1994.json,intermediate_algebra,1,0,1
2,test/algebra/2584.json,algebra,1,1,1
3,test/number_theory/572.json,number_theory,0,1,1
4,test/algebra/1349.json,algebra,0,1,1
5,test/prealgebra/1622.json,prealgebra,1,1,1
6,test/number_theory/515.json,number_theory,0,1,1
7,test/precalculus/927.json,precalculus,0,0,1
8,test/algebra/2036.json,algebra,1,1,1
9,test/prealgebra/1139.json,prealgebra,0,0,0
10,test/number_theory/1032.json,number_theory,0,0,1
11,test/intermediate_algebra/1197.json,intermediate_algebra,0,0,0
12,test/number_theory/737.json,number_theory,0,0,1
13,test/geometry/248.json,geometry,1,1,1
14,test/precalculus/1303.json,precalculus,1,0,1
15,test/precalculus/990.json,precalculus,0,0,0
16,test/intermediate_algebra/134.json,intermediate_algebra,1,1,1
17,test/precalculus/1199.json,precalculus,0,0,0
18,test/geometry/434.json,geometry,0,0,0
19,test/intermediate_algebra/1000.json,intermediate_algebra,0,0,0
20,test/algebra/1098.json,algebra,1,1,1
21,test/intermediate_algebra/607.json,intermediate_algebra,0,0,0
22,test/algebra/1837.json,algebra,1,0,1
23,test/algebra/2193.json,algebra,1,1,1
24,test/algebra/2427.json,algebra,0,0,1
25,test/intermediate_algebra/1388.json,intermediate_algebra,0,0,0
26,test/counting_and_probability/525.json,counting_and_probability,0,0,1
27,test/prealgebra/1840.json,prealgebra,1,1,1
28,test/precalculus/779.json,precalculus,1,1,1
29,test/counting_and_probability/666.json,counting_and_probability,1,0,1
30,test/number_theory/864.json,number_theory,1,1,1
31,test/prealgebra/1302.json,prealgebra,1,1,1
32,test/counting_and_probability/134.json,counting_and_probability,1,1,1
33,test/algebra/1072.json,algebra,0,0,0
34,test/counting_and_probability/119.json,counting_and_probability,1,0,1
35,test/number_theory/627.json,number_theory,1,1,1
36,test/intermediate_algebra/428.json,intermediate_algebra,0,0,1
37,test/geometry/967.json,geometry,1,1,1
38,test/algebra/24.json,algebra,1,1,1
39,test/number_theory/45.json,number_theory,1,1,1
40,test/prealgebra/930.json,prealgebra,1,1,1
41,test/geometry/627.json,geometry,1,0,1
42,test/algebra/2214.json,algebra,1,1,1
43,test/intermediate_algebra/1454.json,intermediate_algebra,0,0,0
44,test/prealgebra/1558.json,prealgebra,0,1,1
45,test/geometry/178.json,geometry,1,1,1
46,test/precalculus/285.json,precalculus,0,0,1
