 Idx   Conf Steer Base Unif Targ         U-Flip         T-Flip
-----------------------------------------------------------------
   3  0.128     Y    0    1    1 wrong_to_right wrong_to_right
  13  0.116     Y    0    1    1 wrong_to_right wrong_to_right
  23  0.002     Y    0    0    0      no_change      no_change
  27  0.438     N    0    0    0      no_change      no_change
  31  0.853     N    0    0    0      no_change      no_change
  36  0.284     Y    0    0    0      no_change      no_change
  40  0.785     N    1    0    1 right_to_wrong      no_change
  47  0.410     N    0    0    0      no_change      no_change
  48  0.281     Y    0    0    0      no_change      no_change
  51  0.160     Y    1    0    0 right_to_wrong right_to_wrong
  55  0.011     Y    0    0    0      no_change      no_change
  56  0.139     Y    0    0    0      no_change      no_change
  78  0.646     N    0    0    0      no_change      no_change
  79  0.728     N    0    0    0      no_change      no_change
  85  0.329     Y    0    0    0      no_change      no_change
  86  0.357     Y    1    1    1      no_change      no_change
  91  0.337     Y    0    0    0      no_change      no_change
  99  0.508     N    0    0    0      no_change      no_change
 107  0.154     Y    1    0    0 right_to_wrong right_to_wrong
 111  0.719     N    1    1    1      no_change      no_change
 121  0.093     Y    1    1    1      no_change      no_change
 130  0.331     Y    0    0    0      no_change      no_change
 137  0.163     Y    0    0    0      no_change      no_change
 141  0.173     Y    0    0    0      no_change      no_change
 142  0.656     N    0    0    0      no_change      no_change
 146  0.677     N    0    0    0      no_change      no_change
 156  0.025     Y    0    0    0      no_change      no_change
 157  0.666     N    0    0    0      no_change      no_change
 158  0.371     Y    0    0    0      no_change      no_change
 165  0.453     N    0    0    0      no_change      no_change
 168  0.318     Y    0    0    0      no_change      no_change
 169  0.827     N    0    1    0 wrong_to_right      no_change
 175  0.723     N    0    0    0      no_change      no_change
 177  0.433     N    0    0    0      no_change      no_change
 180  0.077     Y    0    0    0      no_change      no_change
 183  0.233     Y    0    0    0      no_change      no_change
 184  0.435     N    0    0    0      no_change      no_change
 197  0.733     N    0    0    0      no_change      no_change
 205  0.000     Y    0    0    0      no_change      no_change
 214  0.244     Y    0    0    0      no_change      no_change
 216  0.487     N    0    0    0      no_change      no_change
 222  0.369     Y    0    0    0      no_change      no_change
 225  0.360     Y    0    0    0      no_change      no_change
 230  0.537     N    0    0    0      no_change      no_change
 239  0.095     Y    0    0    0      no_change      no_change
 241  0.681     N    0    0    0      no_change      no_change
 242  0.875     N    0    0    0      no_change      no_change
 247  0.502     N    0    0    0      no_change      no_change
 252  0.307     Y    0    0    0      no_change      no_change
 254  0.493     N    0    0    0      no_change      no_change
 258  0.760     N    0    0    0      no_change      no_change
 265  0.310     Y    1    1    1      no_change      no_change
 272  0.530     N    0    0    0      no_change      no_change
 280  0.194     Y    0    0    0      no_change      no_change
 283  0.641     N    1    0    1 right_to_wrong      no_change
 286  0.308     Y    0    0    0      no_change      no_change
 296  0.627     N    0    0    0      no_change      no_change
 301  0.781     N    0    0    0      no_change      no_change
 306  0.274     Y    0    0    0      no_change      no_change
 311  0.267     Y    0    0    0      no_change      no_change
 318  0.703     N    0    0    0      no_change      no_change
 320  0.539     N    0    0    0      no_change      no_change
 322  0.468     N    1    0    1 right_to_wrong      no_change
 330  0.240     Y    0    0    0      no_change      no_change
 331  0.906     N    0    0    0      no_change      no_change
 332  0.353     Y    0    1    1 wrong_to_right wrong_to_right
 334  0.441     N    0    0    0      no_change      no_change
 339  0.385     Y    0    0    0      no_change      no_change
 349  0.093     Y    0    0    0      no_change      no_change
 352  0.329     Y    0    0    0      no_change      no_change
 353  0.563     N    0    0    0      no_change      no_change
 364  0.369     Y    0    0    0      no_change      no_change
 370  0.143     Y    0    1    1 wrong_to_right wrong_to_right
 373  0.066     Y    0    0    0      no_change      no_change
 380  0.182     Y    0    0    0      no_change      no_change
 387  0.533     N    0    0    0      no_change      no_change
 388  0.310     Y    0    0    0      no_change      no_change
 390  0.673     N    0    0    0      no_change      no_change
 394  0.677     N    0    0    0      no_change      no_change
 402  0.540     N    0    0    0      no_change      no_change
 410  0.219     Y    0    0    0      no_change      no_change
 414  0.205     Y    0    1    1 wrong_to_right wrong_to_right
 415  0.625     N    0    0    0      no_change      no_change
 417  0.249     Y    1    0    0 right_to_wrong right_to_wrong
 421  0.192     Y    0    0    0      no_change      no_change
 422  0.451     N    0    0    0      no_change      no_change
 431  0.055     Y    0    0    0      no_change      no_change
 438  0.438     N    0    0    0      no_change      no_change
 445  0.570     N    0    0    0      no_change      no_change
 448  0.718     N    0    0    0      no_change      no_change
 451  0.112     Y    0    0    0      no_change      no_change
 454  0.420     N    0    0    0      no_change      no_change
 456  0.369     Y    0    0    0      no_change      no_change
 460  0.652     N    0    0    0      no_change      no_change
 461  0.630     N    0    0    0      no_change      no_change
 463  0.907     N    1    0    1 right_to_wrong      no_change
 464  0.139     Y    0    0    0      no_change      no_change
 468  0.184     Y    0    1    1 wrong_to_right wrong_to_right
 476  0.870     N    0    1    0 wrong_to_right      no_change
 496  0.268     Y    0    0    0      no_change      no_change
